Length1,Length2,Length3
7.5,8.4,8.8
12.5,13.7,14.7
13.8,15,16
15,16.2,17.2
15.7,17.4,18.5
16.2,18,19.2
16.8,18.7,19.4
17.2,19,20.2
17.8,19.6,20.8
18.2,20,21
19,21,22.5
19,21,22.5
19,21,22.5
19.3,21.3,22.8
20,22,23.5
20,22,23.5
20,22,23.5
20,22,23.5
20,22,23.5
20.5,22.5,24
20.5,22.5,24
20.7,22.7,24.2
21,23,24.5
21.5,23.5,25
22,24,25.5
22,24,25.5
22.6,24.6,26.2
23,25,26.5
23.5,25.6,27
25,26.5,28
25.2,27.3,28.7
25.4,27.5,28.9
25.4,27.5,28.9
25.4,27.5,28.9
25.9,28,29.4
26.9,28.7,30.1
27.8,30,31.6
30.5,32.8,34
32,34.5,36.5
32.5,35,37.3
34,36.5,39
34,36,38.3
34.5,37,39.4
